date,product_id,product_name,region,units_sold,revenue,price,promotion_flag
2022-01-01,SKU000,Product A0,South,47,12406.59,263.97,1
2022-01-01,SKU000,Product A0,East,10,3233.2,323.32,0
2022-01-01,SKU000,Product A0,West,85,24956.85,293.61,1
2022-01-01,SKU001,Product A1,North,52,14570.4,280.2,1
2022-01-01,SKU002,Product A2,South,17,2029.29,119.37,0
2022-01-01,SKU002,Product A2,East,16,1909.92,119.37,0
2022-01-01,SKU003,Product A3,South,32,10930.56,341.58,0
2022-01-01,SKU003,Product A3,West,8,2349.52,293.69,1
2022-01-01,SKU004,Product A4,East,12,631.2,52.6,0
2022-01-01,SKU004,Product A4,West,52,2735.2,52.6,0
2022-01-01,SKU005,Product A5,South,28,715.96,25.57,0
2022-01-01,SKU005,Product A5,West,21,536.97,25.57,0
2022-01-01,SKU006,Product A6,North,17,1513.51,89.03,1
2022-01-01,SKU006,Product A6,South,24,2811.12,117.13,0
2022-01-01,SKU006,Product A6,East,18,2108.34,117.13,0
2022-01-01,SKU006,Product A6,West,52,4961.84,95.42,1
2022-01-01,SKU007,Product A7,North,72,18868.32,262.06,1
2022-01-01,SKU007,Product A7,East,17,5184.83,304.99,0
2022-01-01,SKU007,Product A7,West,45,11636.1,258.58,1
2022-01-01,SKU008,Product A8,North,8,859.44,107.43,0
2022-01-01,SKU008,Product A8,South,45,4834.35,107.43,0
2022-01-01,SKU008,Product A8,East,8,859.44,107.43,0
2022-01-01,SKU008,Product A8,West,45,4834.35,107.43,0
2022-01-01,SKU009,Product A9,North,36,7760.16,215.56,0
2022-01-01,SKU009,Product A9,South,36,6375.24,177.09,1
2022-01-01,SKU009,Product A9,West,16,2855.36,178.46,1
2022-01-01,SKU010,Product B0,North,19,5676.06,298.74,0
2022-01-01,SKU010,Product B0,South,12,3584.88,298.74,0
2022-01-01,SKU010,Product B0,West,56,14166.88,252.98,1
2022-01-01,SKU011,Product B1,North,8,3054.56,381.82,0
2022-01-01,SKU011,Product B1,South,41,15654.62,381.82,0
2022-01-01,SKU012,Product B2,North,18,6337.62,352.09,0
2022-01-01,SKU012,Product B2,West,71,24998.39,352.09,0
2022-01-01,SKU013,Product B3,South,18,2084.4,115.8,1
2022-01-01,SKU013,Product B3,East,27,3248.91,120.33,1
2022-01-01,SKU014,Product B4,South,59,24024.21,407.19,1
2022-01-01,SKU014,Product B4,East,43,15681.24,364.68,1
2022-01-01,SKU015,Product B5,South,47,2312.87,49.21,1
2022-01-01,SKU016,Product B6,South,27,1549.53,57.39,0
2022-01-01,SKU017,Product B7,East,24,7339.92,305.83,0
2022-01-01,SKU017,Product B7,West,38,11621.54,305.83,0
2022-01-01,SKU018,Product B8,South,32,10262.4,320.7,1
2022-01-01,SKU018,Product B8,East,36,11234.52,312.07,1
2022-01-01,SKU018,Product B8,West,34,10575.7,311.05,1
2022-01-01,SKU019,Product B9,North,56,3712.24,66.29,1
2022-01-01,SKU019,Product B9,East,52,3700.32,71.16,0
2022-01-01,SKU019,Product B9,West,36,1938.24,53.84,1
2022-01-01,SKU020,Product C0,North,60,2916.6,48.61,0
2022-01-01,SKU020,Product C0,East,34,1652.74,48.61,0
2022-01-01,SKU020,Product C0,West,72,3499.92,48.61,0
2022-01-01,SKU021,Product C1,North,35,14574.35,416.41,0
2022-01-01,SKU021,Product C1,South,75,31230.75,416.41,0
2022-01-01,SKU021,Product C1,East,28,11659.48,416.41,0
2022-01-01,SKU021,Product C1,West,56,23318.96,416.41,0
2022-01-01,SKU022,Product C2,North,46,20418.02,443.87,0
2022-01-01,SKU022,Product C2,South,11,4882.57,443.87,0
